Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,33.90,34.00,33.60,33.74,2710500,33.74
2012-12-21,33.93,34.28,33.56,34.14,8250300,34.14
2012-12-20,34.11,34.38,33.93,34.38,7575800,34.38
2012-12-19,34.24,34.49,33.77,34.03,8232600,34.03
2012-12-18,34.08,34.26,33.70,34.24,9336100,34.24
2012-12-17,33.44,34.07,33.35,34.04,8592900,34.04
2012-12-14,32.61,33.47,32.61,33.37,7300600,33.37
2012-12-13,32.82,32.85,32.06,32.60,7062300,32.60
2012-12-12,32.82,33.41,32.60,32.79,9439800,32.79
2012-12-11,32.77,33.01,32.58,32.66,8125800,32.66
2012-12-10,31.70,32.70,31.70,32.66,8336200,32.66
2012-12-07,32.02,32.24,31.53,31.86,6063100,31.86
2012-12-06,31.26,31.81,30.96,31.80,7607500,31.80
2012-12-05,32.30,32.50,31.18,31.34,8837800,31.34
2012-12-04,31.92,32.44,31.92,32.21,7494800,32.21
2012-12-03,32.33,32.50,31.87,31.89,5857200,31.89
2012-11-30,32.37,32.43,31.97,32.26,5020000,32.26
2012-11-29,31.87,32.34,31.82,32.24,9884900,32.24
2012-11-28,30.73,31.80,30.56,31.65,8059700,31.65
2012-11-27,31.15,31.56,31.03,31.15,6752000,31.15
2012-11-26,31.62,31.75,31.20,31.59,4749800,31.59
2012-11-23,31.25,32.04,31.21,31.92,4431400,31.92
2012-11-21,30.62,31.19,30.62,31.00,6411700,31.00
2012-11-20,30.07,30.71,29.83,30.55,7941100,30.55
2012-11-19,29.80,30.50,29.72,30.11,9615500,30.11
2012-11-16,29.69,29.75,28.98,29.36,9747700,29.19
2012-11-15,28.70,29.75,28.56,29.58,8549500,29.40
2012-11-14,29.55,29.75,28.80,28.86,9564500,28.69
2012-11-13,29.19,29.72,29.01,29.22,6694800,29.05
2012-11-12,29.62,29.89,29.26,29.46,5114300,29.28
2012-11-09,29.06,29.86,28.60,29.59,7307000,29.41
2012-11-08,29.45,30.57,29.36,29.37,9997000,29.19
2012-11-07,29.45,29.76,28.87,29.39,8909100,29.21
2012-11-06,29.10,30.50,28.81,30.06,11817700,29.88
2012-11-05,28.28,28.97,28.23,28.88,5631900,28.71
2012-11-02,29.08,29.17,28.07,28.20,7944100,28.03
2012-11-01,28.71,29.21,28.51,28.76,8971400,28.59
2012-10-31,29.39,29.63,28.30,29.10,10486000,28.93
2012-10-26,28.40,29.10,28.23,29.03,7984400,28.86
2012-10-25,28.79,28.98,28.23,28.49,4896200,28.32
2012-10-24,28.53,28.95,28.31,28.41,7185800,28.24
2012-10-23,28.88,28.88,27.89,28.36,12071000,28.19
2012-10-22,29.28,29.80,29.06,29.47,4435100,29.29
2012-10-19,29.59,29.97,29.07,29.53,7133200,29.35
2012-10-18,29.83,30.12,29.53,29.64,7379200,29.46
2012-10-17,29.65,30.16,29.36,30.03,10346400,29.85
2012-10-16,29.15,29.55,28.91,29.52,7897100,29.34
2012-10-15,28.98,29.32,28.17,28.81,8854800,28.64
2012-10-12,28.86,29.36,27.97,29.01,15502400,28.84
2012-10-11,29.71,30.15,29.03,29.14,12791000,28.97
2012-10-10,31.29,31.40,29.32,29.47,19392500,29.29
2012-10-09,31.77,32.12,31.40,31.40,6284900,31.21
2012-10-08,31.67,31.83,31.11,31.71,8766100,31.52
2012-10-05,32.93,33.44,31.79,31.89,11766200,31.70
2012-10-04,32.01,32.88,32.00,32.61,6701200,32.42
2012-10-03,31.93,31.99,31.30,31.59,7457600,31.40
2012-10-02,32.25,32.41,31.86,32.14,5039400,31.95
2012-10-01,31.96,32.43,31.77,32.13,6103300,31.94
2012-09-28,31.34,31.74,31.08,31.68,7084500,31.49
2012-09-27,31.21,31.55,30.96,31.44,6422700,31.25
2012-09-26,31.28,31.40,30.47,30.90,6957200,30.72
2012-09-25,31.88,32.08,31.43,31.47,6179400,31.28
2012-09-24,31.62,32.00,31.49,31.75,5215700,31.56
2012-09-21,32.48,32.69,31.88,31.97,7617800,31.78
2012-09-20,32.09,32.28,31.78,32.14,8131200,31.95
2012-09-19,31.71,32.26,31.53,32.22,8342300,32.03
2012-09-18,31.80,31.80,31.12,31.60,11987000,31.41
2012-09-17,33.15,33.19,31.87,32.04,14661900,31.85
2012-09-14,33.00,34.36,32.93,33.75,11629500,33.55
2012-09-13,32.73,32.88,32.00,32.79,11510200,32.59
2012-09-12,33.13,33.60,32.76,32.78,11242200,32.58
2012-09-11,32.54,32.88,32.32,32.77,8163000,32.57
2012-09-10,32.12,32.55,31.87,32.02,6190600,31.83
2012-09-07,31.45,32.39,31.35,32.18,7783200,31.99
2012-09-06,31.55,31.80,31.09,31.42,10161400,31.23
2012-09-05,30.95,31.52,30.75,31.22,9707600,31.03
2012-09-04,31.30,31.44,30.56,31.02,7404900,30.84
2012-08-31,30.90,31.36,30.65,31.26,9117300,31.07
2012-08-30,30.63,30.91,30.52,30.73,8387100,30.55
2012-08-29,30.94,31.12,30.60,30.77,8406800,30.59
