Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,22.84,22.97,22.81,22.88,2418100,18.87
2009-12-23,22.76,23.02,22.61,22.83,4625600,18.83
2009-12-22,22.94,22.99,22.81,22.82,5540600,18.82
2009-12-21,22.71,22.94,22.71,22.85,9102900,18.85
2009-12-18,22.91,22.93,22.21,22.37,26292400,18.45
2009-12-17,22.85,22.94,22.70,22.90,7686400,18.89
2009-12-16,23.17,23.37,23.12,23.33,3642700,19.24
2009-12-15,22.96,23.13,22.91,23.03,4327700,18.99
2009-12-14,23.12,23.38,23.10,23.28,4423900,19.20
2009-12-11,23.03,23.24,22.97,23.15,3794700,19.09
2009-12-10,23.07,23.14,22.91,23.06,3526800,19.02
2009-12-09,22.94,22.94,22.60,22.85,3701200,18.85
2009-12-08,22.90,22.93,22.73,22.91,3481400,18.90
2009-12-07,23.16,23.39,23.13,23.21,2836400,19.14
2009-12-04,23.61,23.77,23.34,23.43,4819200,19.32
2009-12-03,23.54,23.66,23.24,23.26,3878100,19.18
2009-12-02,23.71,24.04,23.68,23.98,8851800,19.78
2009-12-01,23.08,23.46,23.04,23.43,6129300,19.32
2009-11-30,22.64,22.84,22.50,22.69,5756000,18.71
2009-11-27,22.50,23.18,22.49,23.05,2746900,19.01
2009-11-25,23.00,23.31,22.90,23.19,5567200,19.13
2009-11-24,22.71,22.76,22.56,22.60,6110100,18.64
2009-11-23,22.76,22.80,22.48,22.57,5598900,18.61
2009-11-20,22.03,22.48,22.01,22.42,5426000,18.49
2009-11-19,22.53,22.55,22.22,22.55,6330400,18.60
2009-11-18,22.96,22.97,22.67,22.90,5285400,18.89
2009-11-17,23.49,23.61,23.35,23.53,5015000,19.04
2009-11-16,23.20,23.55,23.15,23.37,5507800,18.91
2009-11-13,22.81,23.05,22.73,22.92,5046700,18.54
2009-11-12,22.59,22.74,22.51,22.55,5570000,18.24
2009-11-11,22.51,22.55,22.13,22.40,7665300,18.12
2009-11-10,22.32,22.86,22.30,22.86,6630500,18.49
2009-11-09,23.19,23.25,23.09,23.18,4342800,18.75
2009-11-06,22.43,22.70,22.38,22.62,3913500,18.30
2009-11-05,23.07,23.12,22.76,22.83,3746900,18.47
2009-11-04,22.40,22.72,22.37,22.40,3085700,18.12
2009-11-03,21.92,22.25,21.86,22.15,5224000,17.92
2009-11-02,22.25,22.45,21.96,22.20,3974600,17.96
2009-10-30,22.80,22.89,21.98,22.19,8087300,17.95
2009-10-29,22.74,23.18,22.70,22.99,4675200,18.60
2009-10-28,22.66,22.82,22.47,22.51,7778200,18.21
2009-10-27,22.68,22.80,22.39,22.58,6289000,18.27
2009-10-26,22.48,22.63,22.23,22.36,8952100,18.09
2009-10-23,22.94,22.96,22.19,22.29,10282000,18.03
2009-10-22,22.94,23.20,22.84,23.06,9470500,18.66
2009-10-21,22.33,22.53,22.15,22.16,10731400,17.93
2009-10-20,22.28,22.28,21.85,21.98,5265500,17.78
2009-10-19,21.93,22.21,21.92,22.14,5732400,17.91
2009-10-16,21.92,22.38,21.80,22.07,5457300,17.86
2009-10-15,22.25,22.43,22.03,22.38,9592800,18.11
2009-10-14,21.76,21.91,21.57,21.86,3855100,17.69
2009-10-13,21.47,21.57,21.28,21.46,4400200,17.36
2009-10-12,21.60,21.66,21.29,21.48,5140700,17.38
2009-10-09,21.26,21.35,21.10,21.35,8594100,17.27
2009-10-08,21.69,21.87,21.50,21.53,11146100,17.42
2009-10-07,22.12,22.16,21.89,22.14,6599500,17.91
2009-10-06,22.20,22.48,22.18,22.39,5545700,18.11
2009-10-05,22.21,22.68,22.19,22.56,3773300,18.25
2009-10-02,22.00,22.26,21.98,22.09,5393800,17.87
2009-10-01,22.79,22.79,22.29,22.34,5428700,18.07
2009-09-30,22.68,22.70,22.33,22.50,4902000,18.20
2009-09-29,22.82,22.93,22.53,22.58,5484900,18.27
2009-09-28,22.52,23.15,22.50,23.00,3820300,18.61
2009-09-25,22.82,23.04,22.68,22.77,5001800,18.42
2009-09-24,23.25,23.45,22.78,23.01,7580900,18.62
2009-09-23,23.65,23.85,23.23,23.45,6011100,18.97
2009-09-22,23.31,23.62,23.22,23.54,8355600,19.04
2009-09-21,22.65,22.93,22.55,22.86,5289100,18.49
2009-09-18,23.00,23.10,22.87,22.91,9196000,18.54
2009-09-17,23.23,23.42,23.06,23.24,4772700,18.80
2009-09-16,23.18,23.32,23.08,23.25,4481000,18.81
2009-09-15,23.10,23.22,22.97,23.15,3561900,18.73
2009-09-14,22.98,23.22,22.93,23.09,2250400,18.68
2009-09-11,23.16,23.26,23.04,23.20,4655400,18.77
2009-09-10,22.94,23.34,22.83,23.34,8073200,18.88
2009-09-09,22.99,23.11,22.87,23.06,7419000,18.66
