Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,42.67,43.04,42.35,43.04,283100,43.04
2009-12-23,43.01,43.16,42.55,42.65,1174300,42.65
2009-12-22,42.15,43.02,42.02,42.90,1471100,42.90
2009-12-21,42.30,42.72,41.74,42.15,2016600,42.15
2009-12-18,41.10,42.35,41.00,42.34,5747400,42.34
2009-12-17,42.27,42.61,41.13,41.13,2574300,41.13
2009-12-16,41.62,42.52,41.31,42.51,2827200,42.51
2009-12-15,40.37,41.57,40.22,41.56,3133000,41.56
2009-12-14,39.76,40.64,39.72,40.60,1432300,40.60
2009-12-11,40.39,40.59,39.40,39.90,1349300,39.90
2009-12-10,40.16,40.62,39.80,40.29,1454000,40.29
2009-12-09,39.64,40.28,39.13,40.18,1868100,40.18
2009-12-08,39.00,39.85,38.67,39.82,1725200,39.82
2009-12-07,39.70,39.80,38.89,39.19,1299800,39.19
2009-12-04,40.23,40.44,39.16,39.63,2292700,39.63
2009-12-03,39.98,40.39,38.97,40.22,7632200,40.22
2009-12-02,39.70,40.05,39.34,39.49,1403800,39.49
2009-12-01,39.06,40.20,38.82,39.86,1781900,39.86
2009-11-30,39.00,39.12,38.42,38.82,1596200,38.82
2009-11-27,38.55,39.38,38.42,39.00,545000,39.00
2009-11-25,39.13,39.68,39.11,39.38,906500,39.38
2009-11-24,39.17,39.42,38.49,39.06,1251500,39.06
2009-11-23,38.96,39.73,38.66,39.36,1437200,39.36
2009-11-20,38.70,39.15,38.54,38.54,1590800,38.54
2009-11-19,39.55,39.77,38.71,38.92,2345500,38.92
2009-11-18,40.50,40.54,39.26,39.51,1773500,39.51
2009-11-17,40.05,40.60,39.71,40.54,2227400,40.54
2009-11-16,40.52,41.00,40.41,40.50,2560900,40.50
2009-11-13,40.79,41.05,40.45,40.58,1982100,40.58
2009-11-12,41.18,41.30,40.07,40.84,2074900,40.84
2009-11-11,40.65,41.75,40.65,41.10,4134300,41.10
2009-11-10,39.56,41.13,39.50,40.69,3308200,40.69
2009-11-09,39.22,40.00,39.07,39.99,2685800,39.99
2009-11-06,38.60,39.50,38.09,39.22,3076800,39.22
2009-11-05,36.94,38.75,36.92,38.74,3799000,38.74
2009-11-04,37.78,38.17,36.82,36.89,2969200,36.89
2009-11-03,36.12,37.25,36.04,36.91,3042500,36.91
2009-11-02,37.13,38.68,36.01,36.15,9237200,36.15
2009-10-30,33.73,34.80,33.55,33.56,3917100,33.56
2009-10-29,33.40,34.08,33.24,33.85,2821800,33.85
