Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,33.23,33.43,33.16,33.36,3392300,28.34
2009-12-23,33.43,33.47,33.10,33.23,9408700,28.23
2009-12-22,33.12,33.37,33.04,33.20,12135500,28.20
2009-12-21,33.02,33.32,32.96,33.02,9451000,28.05
2009-12-18,32.94,33.10,32.66,32.80,18115300,27.86
2009-12-17,32.79,33.09,32.36,32.81,16765100,27.87
2009-12-16,33.06,33.22,32.67,32.71,18750800,27.78
2009-12-15,33.64,33.70,32.86,33.01,20644200,28.04
2009-12-14,33.99,34.13,33.53,33.55,11677800,28.50
2009-12-11,33.73,33.83,33.40,33.73,10430800,28.65
2009-12-10,33.20,33.72,33.20,33.66,13125000,28.59
2009-12-09,33.50,33.50,33.00,33.30,18863200,28.29
2009-12-08,33.41,33.65,32.88,33.39,20292200,28.36
2009-12-07,32.78,33.57,32.75,33.25,16121800,28.24
2009-12-04,32.95,33.06,32.45,32.70,16005000,27.78
2009-12-03,32.83,32.97,32.51,32.69,16460600,27.77
2009-12-02,32.29,32.91,32.29,32.65,16574200,27.73
2009-12-01,31.78,32.34,31.35,32.34,22547600,27.47
2009-11-30,31.83,31.90,31.43,31.46,19470700,26.72
2009-11-27,31.51,31.83,31.15,31.63,8552300,26.87
2009-11-25,31.96,32.11,31.81,32.03,16418100,27.21
2009-11-24,31.44,31.99,31.33,31.87,26158700,27.07
2009-11-23,30.75,31.40,30.57,31.33,22037100,26.61
2009-11-20,30.38,30.53,30.30,30.43,11379000,25.85
2009-11-19,30.47,30.57,30.26,30.52,10561700,25.92
2009-11-18,30.66,30.69,30.37,30.66,10618000,26.04
2009-11-17,30.28,30.65,30.19,30.65,16434300,26.03
2009-11-16,30.21,30.39,30.15,30.33,13160000,25.76
2009-11-13,30.23,30.37,30.00,30.13,11847800,25.59
2009-11-12,30.38,30.43,30.06,30.16,12492300,25.62
2009-11-11,30.45,30.47,30.22,30.36,12343700,25.79
2009-11-10,30.14,30.39,30.09,30.31,14573000,25.75
2009-11-09,29.82,30.20,29.75,30.17,19163000,25.63
2009-11-06,29.26,29.59,29.20,29.56,14904600,25.11
2009-11-05,29.22,29.56,29.22,29.31,13813900,24.90
2009-11-04,29.20,29.30,29.04,29.10,15132600,24.72
2009-11-03,29.33,29.48,28.96,29.07,20161000,24.69
2009-11-02,29.84,29.90,29.16,29.41,20382200,24.98
2009-10-30,29.98,30.45,29.31,29.59,24418700,25.13
2009-10-29,30.10,30.22,29.65,30.04,21944600,25.52
2009-10-28,29.31,30.15,29.29,29.95,49449100,25.44
2009-10-27,28.99,29.28,28.87,29.20,22983800,24.80
2009-10-26,28.99,29.08,28.57,28.64,26812400,24.33
2009-10-23,29.08,29.20,28.71,28.85,19866400,24.51
2009-10-22,29.17,29.49,28.97,29.02,25024800,24.65
2009-10-21,28.82,29.10,28.72,29.03,24885200,24.66
2009-10-20,29.04,29.04,28.71,28.80,19178000,24.46
2009-10-19,29.03,29.05,28.80,28.96,19665400,24.60
2009-10-16,29.02,29.22,28.87,28.90,21397700,24.55
2009-10-15,28.97,29.15,28.84,29.11,15973100,24.73
2009-10-14,29.26,29.26,28.83,28.94,25634900,24.58
2009-10-13,29.01,29.18,28.79,29.02,22084000,24.65
2009-10-12,29.21,29.25,28.75,29.00,16589300,24.63
2009-10-09,29.25,29.27,28.74,29.16,23231300,24.77
2009-10-08,29.55,29.55,29.10,29.16,19061700,24.77
2009-10-07,29.77,29.81,29.22,29.38,24140300,24.96
2009-10-06,30.15,30.21,29.99,30.17,16638100,25.22
2009-10-05,30.08,30.08,29.83,29.96,13518000,25.05
2009-10-02,29.98,30.15,29.86,29.89,16536300,24.99
2009-10-01,30.29,30.30,29.90,30.01,22005300,25.09
2009-09-30,30.27,30.34,30.03,30.27,18101100,25.31
2009-09-29,30.26,30.29,29.96,30.16,13052200,25.22
2009-09-28,30.09,30.42,30.03,30.35,11628800,25.37
2009-09-25,29.99,30.16,29.80,29.94,14663300,25.03
2009-09-24,30.09,30.27,30.02,30.15,19405100,25.21
2009-09-23,29.64,30.36,29.55,29.88,24205400,24.98
2009-09-22,29.61,29.62,29.31,29.51,15916000,24.67
2009-09-21,29.64,29.82,29.32,29.49,20139200,24.66
2009-09-18,29.77,29.89,29.31,29.59,45451300,24.74
2009-09-17,30.41,30.47,29.51,29.51,39227000,24.67
2009-09-16,30.50,30.60,30.02,30.41,27500900,25.42
2009-09-15,31.18,31.18,30.70,31.00,12549700,25.92
2009-09-14,31.00,31.18,30.90,31.07,12297500,25.98
2009-09-11,31.36,31.45,30.99,31.26,20606200,26.14
2009-09-10,30.86,31.41,30.64,31.35,20630500,26.21
2009-09-09,30.99,31.03,30.72,30.89,15310400,25.83
2009-09-08,30.83,30.95,30.68,30.95,16186700,25.88
2009-09-04,30.19,30.61,30.12,30.60,7345800,25.58
2009-09-03,30.15,30.36,30.05,30.24,10707100,25.28
2009-09-02,30.29,30.47,30.09,30.14,10779000,25.20
2009-09-01,30.87,30.89,30.28,30.37,15397300,25.39
2009-08-31,30.90,31.06,30.71,31.04,12443600,25.95
2009-08-28,31.17,31.33,30.81,31.02,13792500,25.93
2009-08-27,31.62,31.62,30.94,31.05,14105400,25.96
2009-08-26,31.21,31.79,31.21,31.48,12475600,26.32
2009-08-25,31.48,31.67,31.30,31.31,10207500,26.18
2009-08-24,31.36,31.53,31.26,31.41,8607100,26.26
2009-08-21,31.06,31.47,30.71,31.37,14032000,26.23
2009-08-20,30.45,30.82,30.36,30.71,9391000,25.68
2009-08-19,30.16,30.53,30.00,30.43,10793300,25.44
2009-08-18,30.31,30.38,30.01,30.28,9633900,25.32
2009-08-17,30.74,30.90,30.14,30.22,12653200,25.27
2009-08-14,31.04,31.20,30.75,31.08,7837500,25.98
2009-08-13,31.27,31.35,30.77,31.04,10213500,25.95
2009-08-12,30.71,31.43,30.59,31.21,23400300,26.09
2009-08-11,30.85,30.92,30.57,30.60,9820400,25.58
2009-08-10,31.03,31.26,30.72,30.92,8936300,25.85
2009-08-07,31.24,31.35,30.97,31.08,10303300,25.98
2009-08-06,31.35,31.38,30.72,30.96,14841200,25.88
2009-08-05,31.89,31.89,31.16,31.27,17410300,26.14
2009-08-04,32.06,32.22,31.62,31.86,10923200,26.64
2009-08-03,32.37,32.53,31.84,32.03,14224000,26.78
2009-07-31,32.24,32.34,31.84,32.07,25894600,26.81
2009-07-30,32.16,32.69,32.09,32.31,19356700,27.01
2009-07-29,31.26,32.01,31.09,31.98,20712800,26.74
2009-07-28,30.88,31.42,30.76,31.40,16837300,26.25
2009-07-27,31.30,31.57,30.52,31.00,19131100,25.92
2009-07-24,31.34,31.53,31.06,31.50,15100900,26.34
2009-07-23,30.42,31.64,30.25,31.27,25194700,26.14
2009-07-22,30.37,30.59,30.07,30.13,13866400,25.19
2009-07-21,29.98,30.37,29.90,30.32,13653000,25.35
2009-07-20,29.69,29.80,29.45,29.77,10443400,24.89
2009-07-17,29.58,29.63,29.22,29.59,10765200,24.74
2009-07-16,29.34,29.59,29.15,29.50,11006200,24.66
2009-07-15,29.11,29.59,29.01,29.34,17970200,24.53
2009-07-14,29.02,29.17,28.74,28.95,12801000,24.20
2009-07-13,28.62,29.08,28.42,29.05,12921300,24.29
2009-07-10,28.48,28.69,28.31,28.62,12618700,23.93
2009-07-09,28.82,28.83,28.37,28.64,14278600,23.94
2009-07-08,29.40,29.40,28.41,28.65,20446900,23.95
2009-07-07,30.39,30.40,29.55,29.64,16196500,24.40
2009-07-06,30.03,30.55,30.02,30.36,13080700,24.99
2009-07-02,30.47,30.53,30.16,30.18,12703400,24.84
2009-07-01,30.83,31.00,30.62,30.82,11545400,25.37
2009-06-30,31.44,31.44,30.55,30.73,17009400,25.29
2009-06-29,31.00,31.38,30.83,31.36,10679000,25.81
2009-06-26,31.00,31.12,30.75,30.99,10941900,25.51
2009-06-25,30.72,31.22,30.52,31.09,13130700,25.59
2009-06-24,30.81,31.03,30.65,30.80,14284200,25.35
2009-06-23,30.10,30.66,30.01,30.52,15897000,25.12
2009-06-22,29.53,30.17,29.48,30.02,22305700,24.71
2009-06-19,30.42,30.43,29.58,29.66,20876200,24.41
2009-06-18,30.01,30.40,29.80,30.09,14353200,24.77
2009-06-17,29.58,30.04,29.58,29.78,12261200,24.51
2009-06-16,29.86,29.86,29.50,29.54,14516300,24.31
2009-06-15,29.84,29.96,29.51,29.73,14255400,24.47
2009-06-12,29.69,30.06,29.61,29.92,22900300,24.63
2009-06-11,29.49,30.08,29.45,29.75,12552200,24.49
2009-06-10,29.51,29.76,29.17,29.53,11717100,24.31
2009-06-09,29.40,29.57,29.00,29.42,13294700,24.22
2009-06-08,29.15,29.53,28.98,29.28,12359800,24.10
2009-06-05,29.81,29.81,29.14,29.25,12773500,24.08
2009-06-04,29.68,29.82,29.45,29.57,13843100,24.34
2009-06-03,29.51,29.85,29.10,29.59,16855200,24.35
2009-06-02,29.30,29.68,29.12,29.57,16524500,24.34
2009-06-01,29.53,29.60,29.10,29.25,18639800,24.08
2009-05-29,29.38,29.40,28.74,29.26,18054400,24.08
2009-05-28,29.12,29.46,28.90,29.27,14589600,24.09
2009-05-27,29.65,29.69,28.87,28.95,12850900,23.83
2009-05-26,28.68,29.73,28.64,29.63,12108900,24.39
2009-05-22,29.19,29.20,28.75,28.81,9736700,23.71
2009-05-21,29.57,29.64,28.80,29.16,16838700,24.00
2009-05-20,29.82,30.17,29.76,29.83,18315700,24.55
2009-05-19,29.79,29.87,29.53,29.65,11256800,24.40
