Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,34.40,35.00,34.32,34.42,7911300,34.42
2012-12-21,34.69,34.88,34.20,34.48,37148300,34.48
2012-12-20,34.46,35.06,34.46,35.06,25128300,35.06
2012-12-19,34.97,35.03,34.60,34.62,33517600,34.62
2012-12-18,34.66,35.19,34.48,34.96,35083200,34.96
2012-12-17,33.25,34.45,33.25,34.38,43475600,34.38
2012-12-14,33.25,33.32,33.02,33.15,19231900,33.15
2012-12-13,33.49,33.63,33.20,33.26,18612400,33.26
2012-12-12,33.43,33.92,33.36,33.50,26297900,33.50
2012-12-11,33.11,33.44,33.05,33.29,20841900,33.29
2012-12-10,33.12,33.34,33.03,33.05,17977000,33.05
2012-12-07,33.29,33.35,33.00,33.23,18525200,33.23
2012-12-06,32.98,33.26,32.82,33.14,18833100,33.14
2012-12-05,32.92,33.20,32.69,32.98,27232100,32.98
2012-12-04,32.83,32.84,32.41,32.74,20296900,32.74
2012-12-03,33.18,33.24,32.74,32.75,19623300,32.75
2012-11-30,33.11,33.22,32.84,33.01,19535500,33.01
2012-11-29,33.03,33.33,32.94,33.16,21316700,33.16
2012-11-28,32.45,32.85,32.12,32.81,18115300,32.81
2012-11-27,32.81,33.04,32.58,32.63,18988300,32.63
2012-11-26,33.03,33.05,32.65,32.90,16967700,32.90
2012-11-23,32.85,33.20,32.73,33.20,8783100,33.20
2012-11-21,32.96,33.00,32.47,32.59,15861100,32.59
2012-11-20,32.40,33.22,32.27,32.92,23890300,32.92
2012-11-19,32.48,32.61,32.15,32.40,22655800,32.40
2012-11-16,31.62,32.00,31.40,31.94,25581200,31.94
2012-11-15,31.49,31.92,31.42,31.57,22953000,31.57
2012-11-14,32.08,32.27,31.25,31.43,30910400,31.43
2012-11-13,32.07,32.55,32.00,32.02,20615600,32.02
2012-11-12,32.45,32.56,32.22,32.37,14994700,32.37
2012-11-09,32.33,32.70,32.25,32.35,21637100,32.35
2012-11-08,33.18,33.33,32.32,32.35,28044300,32.35
2012-11-07,33.76,33.76,32.81,32.91,32189300,32.91
2012-11-06,34.05,34.40,34.01,34.32,18787700,34.10
2012-11-05,33.56,34.07,33.54,34.02,17548100,33.80
2012-11-02,34.34,34.41,33.66,33.74,19149600,33.52
2012-11-01,33.75,34.06,33.58,34.06,26179000,33.84
2012-10-31,34.19,34.27,33.65,33.69,24902700,33.47
2012-10-26,33.86,34.09,33.70,33.97,23257700,33.75
2012-10-25,34.10,34.23,33.73,34.06,18816500,33.84
2012-10-24,34.04,34.26,33.59,33.72,25150500,33.50
2012-10-23,34.04,34.16,33.64,33.87,29170300,33.65
2012-10-22,34.30,34.54,34.16,34.50,23043800,34.28
2012-10-19,34.61,34.61,34.02,34.34,27819800,34.12
2012-10-18,34.57,34.84,34.40,34.57,23132500,34.35
2012-10-17,33.93,34.72,33.88,34.47,34806200,34.25
2012-10-16,34.10,34.13,33.50,33.73,39858400,33.51
2012-10-15,34.09,34.20,33.53,33.90,50238300,33.68
2012-10-12,33.84,34.42,33.65,34.25,61315900,34.03
2012-10-11,35.59,35.66,35.07,35.18,23087800,34.95
2012-10-10,35.12,35.37,35.00,35.23,21229300,35.00
2012-10-09,35.86,35.95,34.97,35.10,40870500,34.87
2012-10-08,35.69,35.94,35.63,35.80,13882500,35.57
2012-10-05,36.10,36.34,35.64,35.84,26200600,35.61
2012-10-04,35.62,36.00,35.45,35.97,29103700,35.74
2012-10-03,34.98,35.66,34.90,35.44,29288800,35.21
2012-10-02,34.83,34.87,34.54,34.82,21664000,34.60
2012-10-01,34.78,35.12,34.61,34.70,18903300,34.48
2012-09-28,34.61,34.86,34.47,34.53,21511200,34.31
2012-09-27,34.51,34.83,34.39,34.76,21591600,34.54
2012-09-26,34.79,34.80,34.29,34.42,27547000,34.20
2012-09-25,35.22,35.62,34.72,34.72,31518500,34.50
2012-09-24,34.77,35.22,34.73,35.10,19628400,34.87
2012-09-21,35.42,35.45,34.80,34.97,67455100,34.75
2012-09-20,35.04,35.23,34.85,35.20,22245300,34.97
2012-09-19,35.65,35.84,35.24,35.25,25755900,35.02
2012-09-18,35.34,35.58,35.17,35.44,26286600,35.21
2012-09-17,35.67,35.99,35.31,35.33,32266600,35.10
2012-09-14,35.60,36.60,35.56,36.13,42005000,35.90
2012-09-13,34.34,35.63,34.14,35.55,35911100,35.32
2012-09-12,34.30,34.45,34.21,34.33,17146900,34.11
2012-09-11,34.13,34.57,34.10,34.15,28575700,33.93
2012-09-10,34.87,34.94,34.59,34.59,19616700,34.37
2012-09-07,34.96,35.19,34.74,35.00,26773900,34.78
2012-09-06,33.98,34.95,33.97,34.84,32143100,34.62
2012-09-05,33.84,34.01,33.74,33.75,16121100,33.53
2012-09-04,34.04,34.13,33.73,33.80,14717600,33.58
2012-08-31,34.01,34.20,33.93,34.03,16880100,33.81
2012-08-30,33.95,34.05,33.81,33.87,15140400,33.65
2012-08-29,34.10,34.28,34.07,34.07,12663500,33.85
2012-08-28,33.88,34.25,33.87,34.10,15936800,33.88
2012-08-27,34.09,34.25,33.92,34.02,13813000,33.80
2012-08-24,33.80,34.21,33.76,34.04,16677900,33.82
2012-08-23,34.16,34.22,33.88,33.92,17540600,33.70
2012-08-22,34.33,34.46,34.11,34.18,18862500,33.96
2012-08-21,34.24,34.76,34.10,34.38,25280400,34.16
2012-08-20,34.03,34.20,33.98,34.07,18147600,33.85
2012-08-17,34.25,34.30,33.96,34.03,16927000,33.81
2012-08-16,34.12,34.20,33.78,34.13,19596400,33.91
2012-08-15,34.01,34.18,33.83,33.97,13766800,33.75
2012-08-14,34.11,34.22,33.87,33.96,13204200,33.74
2012-08-13,33.66,34.03,33.59,33.96,11385300,33.74
2012-08-10,33.58,33.95,33.54,33.83,11408500,33.61
2012-08-09,33.75,33.98,33.61,33.82,13025800,33.60
2012-08-08,33.63,33.95,33.48,33.82,12444400,33.60
2012-08-07,34.20,34.40,33.96,33.96,16834400,33.52
2012-08-06,34.45,34.56,33.99,34.00,16959300,33.56
2012-08-03,33.76,34.40,33.63,34.34,25066400,33.90
2012-08-02,33.63,33.68,32.84,33.34,31475000,32.91
2012-08-01,33.92,34.80,33.80,33.90,41075800,33.46
2012-07-31,33.82,34.00,33.72,33.81,19404300,33.38
2012-07-30,34.15,34.40,33.91,33.96,19113800,33.52
2012-07-27,33.87,34.38,33.85,34.15,25808800,33.71
2012-07-26,33.67,33.84,33.28,33.78,22763000,33.35
2012-07-25,33.36,33.41,32.99,33.16,25968000,32.73
2012-07-24,33.50,33.56,32.95,33.23,24927200,32.80
2012-07-23,33.22,33.71,33.13,33.44,26461300,33.01
2012-07-20,33.96,34.29,33.76,33.81,24839600,33.38
2012-07-19,34.04,34.34,33.96,34.15,22687500,33.71
2012-07-18,33.92,34.13,33.74,33.96,23349300,33.52
2012-07-17,34.19,34.25,33.60,34.12,21711600,33.68
2012-07-16,33.92,34.35,33.73,34.02,29744300,33.58
2012-07-13,32.71,33.96,32.66,33.91,39549100,33.47
2012-07-12,33.02,33.12,32.64,32.85,29956400,32.43
2012-07-11,32.85,33.38,32.77,33.27,23266200,32.84
2012-07-10,33.49,33.68,32.75,32.97,21878400,32.55
2012-07-09,33.04,33.57,33.04,33.26,19708700,32.83
2012-07-06,32.75,33.18,32.62,33.05,17957600,32.63
2012-07-05,33.26,33.36,33.00,33.13,21927700,32.70
2012-07-03,33.53,33.72,33.35,33.48,13531500,33.05
2012-07-02,33.67,33.73,33.21,33.55,19654600,33.12
2012-06-29,33.16,33.44,32.97,33.44,30171700,33.01
2012-06-28,32.41,32.55,31.91,32.48,29698300,32.06
2012-06-27,32.59,32.85,32.39,32.73,17072700,32.31
2012-06-26,32.30,32.47,32.05,32.33,19167400,31.91
2012-06-25,32.46,32.50,32.00,32.22,20175000,31.81
2012-06-22,32.67,33.09,32.55,32.81,34799300,32.39
2012-06-21,32.91,33.14,32.27,32.34,31928700,31.92
2012-06-20,33.02,33.16,32.32,32.81,29557200,32.39
2012-06-19,32.71,33.22,32.50,32.96,30620000,32.54
2012-06-18,32.33,32.73,32.20,32.46,20933700,32.04
2012-06-15,32.15,32.55,31.79,32.45,39130600,32.03
2012-06-14,31.65,32.25,31.53,32.03,31265500,31.62
2012-06-13,31.26,31.97,31.15,31.58,38514300,31.17
2012-06-12,31.12,31.38,30.34,31.30,32437000,30.90
2012-06-11,31.65,31.94,30.96,30.99,26855900,30.59
2012-06-08,31.20,31.43,30.76,31.43,33927700,31.03
2012-06-07,31.45,31.58,31.14,31.18,28903000,30.78
2012-06-06,30.77,30.98,30.37,30.97,38718500,30.57
2012-06-05,29.95,30.58,29.87,30.52,24618000,30.13
2012-06-04,30.40,30.40,29.80,30.05,37812600,29.66
2012-06-01,31.40,31.46,30.00,30.16,50519500,29.77
2012-05-31,31.77,32.36,31.38,32.05,31879900,31.64
2012-05-30,31.90,32.04,31.52,31.70,28690800,31.29
2012-05-29,32.10,32.26,31.96,32.25,20188900,31.84
2012-05-25,31.82,32.15,31.77,31.86,18935300,31.45
2012-05-24,31.85,31.88,31.36,31.81,23765100,31.40
2012-05-23,31.50,31.80,30.98,31.74,30587800,31.33
2012-05-22,31.55,32.45,31.37,31.67,30213700,31.26
2012-05-21,30.93,31.47,30.52,31.40,30865500,31.00
2012-05-18,31.47,31.58,30.65,30.94,53576100,30.54
2012-05-17,31.96,32.16,31.43,31.44,46067300,31.04
2012-05-16,32.44,32.72,31.97,31.97,28226100,31.56
2012-05-15,32.28,32.72,32.10,32.24,28625200,31.83
2012-05-14,32.88,32.95,32.38,32.41,29761900,31.99
2012-05-11,32.67,33.60,32.52,33.31,36384600,32.88
2012-05-10,33.21,33.50,32.90,33.19,24902300,32.76
2012-05-09,32.81,32.91,32.46,32.63,27552100,32.21
2012-05-08,33.13,33.55,32.85,33.15,27069000,32.72
2012-05-07,32.79,33.65,32.78,33.50,28211800,33.07
2012-05-04,33.24,33.42,32.76,33.03,27154400,32.61
2012-05-03,33.79,33.79,33.24,33.39,18647800,32.96
2012-05-02,33.70,33.79,33.29,33.57,19156700,33.14
2012-05-01,33.55,34.30,33.40,34.09,25970300,33.43
2012-04-30,33.75,33.77,33.10,33.42,20361100,32.78
2012-04-27,33.91,33.98,33.61,33.77,19831300,33.12
2012-04-26,33.30,33.85,33.21,33.84,23413600,33.19
2012-04-25,33.30,33.47,32.87,33.35,20489000,32.71
2012-04-24,32.80,33.15,32.74,33.07,19978200,32.43
2012-04-23,32.65,32.77,32.43,32.69,27262400,32.06
