Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,90.63,91.36,90.33,91.00,433400,91.00
2012-12-21,90.88,91.61,90.00,91.18,2379700,91.18
2012-12-20,91.64,92.06,91.30,91.70,1286200,91.70
2012-12-19,91.72,92.00,91.20,91.24,1168200,91.24
2012-12-18,90.00,91.77,89.50,91.71,1799200,91.71
2012-12-17,88.68,89.97,88.51,89.84,1290300,89.84
2012-12-14,89.16,89.93,88.18,88.54,1150100,88.54
2012-12-13,90.72,91.18,89.14,89.22,1112800,89.22
2012-12-12,92.00,92.24,90.43,90.61,934400,90.61
2012-12-11,91.20,92.71,91.02,91.77,1120800,91.77
2012-12-10,90.76,91.54,90.30,90.66,1235100,90.66
2012-12-07,91.69,91.71,90.42,90.59,992500,90.59
2012-12-06,90.91,92.40,90.91,91.17,1352400,91.17
2012-12-05,92.28,93.28,91.97,92.86,1321900,90.86
2012-12-04,91.53,92.23,91.02,92.07,2840500,90.09
2012-12-03,93.90,93.99,92.05,92.41,2553300,90.42
2012-11-30,94.48,94.48,92.73,93.36,2024600,91.35
2012-11-29,93.10,93.83,92.76,93.08,1533000,91.08
2012-11-28,89.73,92.48,89.42,92.44,2089800,90.45
2012-11-27,92.07,92.17,91.01,91.37,1430800,89.40
2012-11-26,95.00,95.00,91.54,92.15,2395800,90.17
2012-11-23,92.81,95.19,92.58,95.06,1144600,93.01
2012-11-21,93.25,94.10,91.63,92.07,2537700,90.09
2012-11-20,91.74,93.46,90.91,93.42,2332200,91.41
2012-11-19,91.15,91.96,90.20,91.41,2096700,89.44
2012-11-16,88.32,90.74,88.20,90.54,1705400,88.59
2012-11-15,88.02,88.84,87.77,88.62,1687300,86.71
2012-11-14,90.85,90.85,87.70,88.09,1842500,86.19
2012-11-13,90.50,91.78,90.35,90.41,1113600,88.46
2012-11-12,91.69,92.34,90.77,91.01,1073600,89.05
2012-11-09,90.02,91.90,88.90,91.57,2289400,89.60
2012-11-08,92.46,94.68,90.17,90.31,4187300,88.36
2012-11-07,96.77,97.75,95.23,95.93,3700700,93.86
2012-11-06,98.63,98.66,97.15,98.00,1261300,95.89
2012-11-05,97.00,98.61,96.52,98.17,1257000,96.06
2012-11-02,97.00,99.00,96.51,97.15,2246900,95.06
2012-11-01,95.20,95.85,94.04,94.46,1084500,92.43
2012-10-31,94.42,96.32,93.25,94.79,1275500,92.75
2012-10-26,93.73,94.94,93.45,94.21,1185700,92.18
2012-10-25,94.18,94.65,92.76,93.50,985200,91.49
2012-10-24,94.55,95.28,92.88,93.01,1436400,91.01
2012-10-23,95.02,95.40,93.50,93.96,1543100,91.94
2012-10-22,96.38,96.78,95.35,95.89,949100,93.82
2012-10-19,99.50,99.50,96.23,96.65,2049400,94.57
2012-10-18,99.92,100.02,99.10,99.89,1051200,97.74
2012-10-17,98.92,99.99,98.57,99.85,931700,97.70
2012-10-16,97.80,99.26,97.52,98.84,950300,96.71
2012-10-15,96.96,97.52,95.66,97.43,966400,95.33
2012-10-12,97.44,97.95,95.46,96.40,1015200,94.32
2012-10-11,98.18,98.43,96.58,97.16,926300,95.07
2012-10-10,98.08,98.40,97.05,97.41,673600,95.31
2012-10-09,100.14,100.84,97.91,97.99,1241900,95.88
2012-10-08,100.57,100.67,99.44,100.45,783200,98.29
2012-10-05,99.90,101.86,99.87,101.19,1468700,99.01
2012-10-04,98.50,99.57,98.06,99.53,784300,97.39
2012-10-03,97.81,98.66,97.49,98.18,1170400,96.07
2012-10-02,97.66,97.96,96.37,97.42,902000,95.32
2012-10-01,97.81,99.15,97.10,97.49,1279700,95.39
2012-09-28,97.04,97.80,96.53,97.40,889200,95.30
2012-09-27,96.79,97.78,95.72,97.66,1164100,95.56
2012-09-26,98.00,98.18,96.21,96.43,1598800,94.35
2012-09-25,99.79,100.50,98.12,98.26,1290300,96.01
2012-09-24,99.40,100.50,98.52,100.08,1296300,97.78
2012-09-21,99.39,100.27,98.93,99.75,4680700,97.46
2012-09-20,98.50,99.49,98.31,99.39,915300,97.11
2012-09-19,97.29,99.38,97.02,99.24,1068200,96.96
2012-09-18,97.45,97.46,96.51,97.46,1016900,95.23
2012-09-17,97.76,97.92,96.81,97.62,876400,95.38
2012-09-14,98.07,99.60,97.38,97.76,1313700,95.52
2012-09-13,96.15,98.18,95.90,97.96,1113800,95.71
2012-09-12,96.20,96.73,95.78,96.29,1066300,94.08
2012-09-11,97.58,97.80,95.51,95.91,1542200,93.71
2012-09-10,97.32,98.49,97.22,97.78,988300,95.54
2012-09-07,98.10,98.22,96.75,97.70,1123500,95.46
2012-09-06,97.07,98.27,96.90,98.22,1153300,95.97
2012-09-05,96.98,97.81,96.00,96.31,1383300,94.10
2012-09-04,96.89,97.59,96.26,96.63,1133800,94.41
2012-08-31,97.51,97.89,95.84,96.75,1133800,94.53
2012-08-30,96.68,97.43,96.20,97.04,788500,94.81
2012-08-29,97.56,98.47,96.57,97.00,1625600,94.78
2012-08-28,96.74,97.36,96.24,96.79,874800,94.57
