Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,83.11,83.24,82.53,82.95,229200,76.80
2009-12-23,83.75,83.75,82.10,82.88,851500,76.73
2009-12-22,83.42,85.01,82.99,83.65,1545200,77.45
2009-12-21,80.76,83.58,80.36,83.55,1657300,77.35
2009-12-18,79.32,80.99,78.77,80.69,2118700,74.71
2009-12-17,76.86,79.23,76.28,79.16,1823900,73.29
2009-12-16,77.73,78.07,77.19,77.50,1134700,71.75
2009-12-15,75.16,77.68,75.16,77.45,1104600,71.71
2009-12-14,75.27,76.50,75.24,76.40,1343600,70.73
2009-12-11,75.63,76.24,74.43,74.79,1595600,69.24
2009-12-10,76.47,76.47,75.29,75.61,1175800,70.00
2009-12-09,76.76,77.44,74.96,75.70,2171600,70.09
2009-12-08,77.85,77.89,76.48,76.73,1412700,71.04
2009-12-07,78.66,80.00,77.67,78.14,1637600,72.34
2009-12-04,78.77,79.60,77.24,78.59,2193900,72.76
2009-12-03,79.79,80.00,76.98,77.08,2110000,71.36
2009-12-02,77.45,79.39,77.07,79.13,1546400,73.26
2009-12-01,74.72,77.10,74.72,76.97,2698100,71.26
2009-11-30,74.35,74.82,73.29,74.16,1154000,68.66
2009-11-27,73.71,75.50,72.84,74.60,972400,69.07
2009-11-25,74.21,75.91,73.61,75.45,1680900,69.85
2009-11-24,72.42,73.64,71.41,73.59,2080300,68.13
2009-11-23,70.98,71.85,70.64,71.41,1563700,66.11
2009-11-20,70.38,70.82,68.90,69.66,1826500,64.49
2009-11-19,72.81,73.00,70.50,70.72,2008400,65.47
2009-11-18,74.91,75.06,73.09,73.38,1534500,67.94
2009-11-17,75.77,75.85,74.55,75.56,1050900,69.56
2009-11-16,75.15,76.08,74.45,75.94,1357300,69.91
2009-11-13,73.82,74.80,73.17,74.26,1040200,68.36
2009-11-12,74.12,75.29,73.06,73.31,1270400,67.49
2009-11-11,74.93,75.92,73.93,74.43,1293200,68.52
2009-11-10,73.24,74.18,72.18,73.90,962500,68.03
2009-11-09,71.82,73.63,71.10,73.54,2207300,67.70
2009-11-06,72.96,74.00,69.89,70.82,2991300,65.19
2009-11-05,72.17,73.98,71.98,73.85,1550000,67.98
2009-11-04,75.27,75.27,71.68,71.91,1759000,66.20
2009-11-03,71.26,74.64,70.96,74.39,1951600,68.48
2009-11-02,72.40,72.96,70.25,71.46,1799100,65.78
2009-10-30,74.30,74.36,71.08,71.59,1779000,65.90
2009-10-29,73.03,75.47,72.50,74.85,1692500,68.90
2009-10-28,74.16,75.10,71.29,71.74,2880600,66.04
2009-10-27,77.64,77.88,74.41,74.80,2294400,68.86
2009-10-26,77.60,80.41,77.31,77.66,2742400,71.49
2009-10-23,76.63,79.29,75.50,77.13,4534000,71.00
2009-10-22,71.84,74.62,71.27,73.54,1758400,67.70
2009-10-21,72.80,73.83,71.75,71.83,1422400,66.12
2009-10-20,73.58,73.96,72.37,73.00,916400,67.20
2009-10-19,73.02,73.99,72.30,73.76,795700,67.90
2009-10-16,72.72,73.55,71.64,72.73,1208200,66.95
2009-10-15,72.27,73.50,71.77,73.40,1270700,67.57
2009-10-14,73.02,73.62,71.67,72.86,1292600,67.07
2009-10-13,70.76,72.10,70.73,71.83,1000600,66.12
2009-10-12,70.93,72.05,70.76,71.38,830700,65.71
2009-10-09,69.43,70.62,68.58,70.50,894200,64.90
2009-10-08,69.15,71.00,68.39,69.61,1304100,64.08
2009-10-07,67.45,68.38,66.69,68.14,945000,62.73
2009-10-06,69.71,70.45,66.85,67.79,1633700,62.41
2009-10-05,66.46,69.18,66.46,68.98,1576400,63.50
2009-10-02,66.25,66.96,65.37,66.52,1398600,61.24
2009-10-01,69.99,70.00,66.59,67.12,1847700,61.79
