Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,32.59,32.65,32.08,32.29,2987700,32.29
2012-12-24,32.62,32.80,32.41,32.53,1516900,32.53
2012-12-21,32.62,32.80,32.30,32.80,10849100,32.80
2012-12-20,32.60,32.88,32.44,32.85,5565400,32.85
2012-12-19,32.37,32.79,32.16,32.53,5497600,32.53
2012-12-18,32.05,32.47,31.80,32.38,8985600,32.38
2012-12-17,31.57,31.92,31.47,31.89,8621800,31.89
2012-12-14,31.20,31.70,31.11,31.49,13056600,31.49
2012-12-13,31.33,31.74,31.00,31.02,46308200,31.02
2012-12-12,30.68,31.59,30.59,31.13,9507100,31.13
2012-12-11,31.24,31.52,31.16,31.38,4100300,31.38
2012-12-10,31.23,31.54,31.06,31.22,4485900,31.22
2012-12-07,31.68,31.74,31.10,31.22,6872900,31.22
2012-12-06,32.24,32.41,31.45,31.56,5708200,31.56
2012-12-05,32.17,32.41,31.85,32.28,4673200,32.28
2012-12-04,32.50,32.54,32.15,32.24,4855900,31.92
2012-12-03,33.00,33.14,32.51,32.59,3998700,32.26
2012-11-30,32.66,32.90,32.37,32.84,5102200,32.51
2012-11-29,33.13,33.23,32.39,32.58,4211200,32.25
2012-11-28,32.50,33.01,32.36,33.00,3625900,32.67
2012-11-27,32.76,32.94,32.55,32.69,4343600,32.36
2012-11-26,33.13,33.27,32.65,32.79,4548100,32.46
2012-11-23,33.30,33.47,33.08,33.44,1763300,33.10
2012-11-21,32.91,33.11,32.72,33.03,4581000,32.70
2012-11-20,32.84,33.02,32.46,32.80,5456100,32.47
2012-11-19,31.98,32.69,31.96,32.67,7016600,32.34
2012-11-16,31.57,31.76,30.83,31.68,8272200,31.36
2012-11-15,31.09,31.40,30.55,30.97,6996400,30.66
2012-11-14,31.94,32.03,31.14,31.19,5525900,30.88
2012-11-13,31.35,32.36,31.35,31.87,5682700,31.55
2012-11-12,32.09,32.17,31.65,31.65,4131200,31.33
2012-11-09,32.03,32.54,31.83,32.07,4895300,31.75
2012-11-08,32.81,32.88,32.15,32.20,5472900,31.88
2012-11-07,33.00,33.11,32.52,32.85,6976000,32.52
2012-11-06,33.38,33.58,32.69,33.46,7291800,33.12
2012-11-05,33.11,33.27,32.89,33.21,4690000,32.88
2012-11-02,33.84,33.93,32.86,33.07,9631800,32.74
2012-11-01,34.31,35.40,33.28,33.69,13208400,33.35
2012-10-31,35.08,35.21,34.52,34.99,4831600,34.64
2012-10-26,34.77,35.08,34.40,34.82,2998300,34.47
2012-10-25,34.93,35.05,34.26,34.71,3146800,34.36
2012-10-24,34.70,35.11,34.38,34.66,4435100,34.31
2012-10-23,34.32,34.71,34.08,34.44,5487600,34.09
2012-10-22,34.93,35.30,34.63,34.97,4028100,34.62
2012-10-19,35.31,35.51,34.55,34.97,10840900,34.62
2012-10-18,35.96,36.07,35.32,35.51,9035700,35.15
