Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,53.24,53.57,53.11,53.16,416200,53.16
2012-12-21,52.87,53.46,52.47,53.38,2083100,53.38
2012-12-20,52.32,53.61,52.21,53.40,1548600,53.40
2012-12-19,52.95,53.00,52.40,52.44,919400,52.44
2012-12-18,52.22,52.93,52.15,52.81,1462800,52.81
2012-12-17,50.54,52.16,50.54,52.12,1725500,52.12
2012-12-14,50.16,50.54,50.04,50.26,836600,50.26
2012-12-13,50.01,50.66,49.95,50.30,884500,50.30
2012-12-12,50.17,50.54,49.97,50.12,1217800,50.12
2012-12-11,50.69,50.75,50.04,50.07,1141600,50.07
2012-12-10,49.76,50.99,49.70,50.46,2076800,50.46
2012-12-07,49.89,49.89,49.40,49.64,1156600,49.64
2012-12-06,49.53,49.88,49.28,49.59,1365200,49.59
2012-12-05,49.73,50.01,49.12,49.68,1627800,49.68
2012-12-04,49.78,50.01,49.31,49.74,1254100,49.74
2012-12-03,49.60,50.40,49.60,49.99,2458900,49.99
2012-11-30,48.85,49.34,48.66,49.09,2817500,49.09
2012-11-29,49.02,49.32,48.34,48.83,1984000,48.83
2012-11-28,48.80,48.91,47.95,48.83,2524100,48.83
2012-11-27,49.19,49.58,48.88,48.96,1043100,48.96
2012-11-26,49.64,49.86,48.90,49.26,1228200,49.26
2012-11-23,49.86,50.16,49.59,50.16,236300,50.16
2012-11-21,49.65,49.96,49.12,49.62,1033100,49.62
2012-11-20,49.25,49.84,48.97,49.70,1951400,49.70
2012-11-19,49.48,49.68,48.96,49.12,3056900,49.12
2012-11-16,49.28,49.44,48.29,48.89,2303300,48.66
2012-11-15,49.87,49.91,48.25,48.98,2637400,48.75
2012-11-14,51.11,51.12,49.71,49.92,1505900,49.69
2012-11-13,50.87,51.56,50.66,51.05,654300,50.81
2012-11-12,51.68,51.78,50.92,51.14,788900,50.90
2012-11-09,50.65,51.77,50.65,51.37,1310200,51.13
2012-11-08,51.20,51.73,50.85,50.94,1408000,50.70
2012-11-07,51.45,51.82,50.70,51.31,1736700,51.07
2012-11-06,51.59,52.26,51.45,52.17,1069600,51.92
2012-11-05,50.28,51.51,50.16,51.44,1097100,51.20
2012-11-02,51.67,51.80,50.46,50.51,948500,50.27
2012-11-01,50.57,51.70,50.41,51.30,1392900,51.06
2012-10-31,51.16,51.69,50.25,50.40,1328500,50.16
2012-10-26,51.64,51.85,50.07,50.66,1796500,50.42
2012-10-25,52.23,52.62,51.14,51.55,1856600,51.31
2012-10-24,53.92,54.50,52.00,52.29,1664900,52.04
2012-10-23,53.46,53.61,52.61,53.30,1192800,53.05
2012-10-22,54.43,54.49,53.72,54.43,667900,54.17
2012-10-19,54.64,54.90,53.96,54.12,850600,53.87
2012-10-18,55.03,55.29,54.58,54.87,667100,54.61
2012-10-17,54.85,55.41,54.60,55.04,619700,54.78
