Date,Open,High,Low,Close,Volume,Adj Close
2012-12-24,23.94,24.07,23.63,24.06,1856000,24.06
2012-12-21,23.99,24.24,23.64,23.94,9551200,23.94
2012-12-20,24.37,24.62,24.10,24.62,5552500,24.62
2012-12-19,24.52,24.75,24.28,24.43,6460600,24.43
2012-12-18,24.15,24.51,24.00,24.43,8404200,24.43
2012-12-17,24.20,24.58,23.72,24.02,11274000,24.02
2012-12-14,22.50,24.08,22.48,23.85,19818600,23.85
2012-12-13,22.21,22.80,22.16,22.33,8353300,22.33
2012-12-12,22.52,22.84,21.94,22.16,11118400,22.16
2012-12-11,22.04,22.64,21.76,22.41,10304900,22.41
2012-12-10,21.46,22.14,21.42,21.85,7760900,21.85
2012-12-07,22.12,22.23,21.65,21.77,5277500,21.77
2012-12-06,21.99,22.25,21.67,22.00,5257500,22.00
2012-12-05,21.83,22.25,21.66,22.06,6970700,22.06
2012-12-04,21.36,21.99,21.30,21.66,5730900,21.66
2012-12-03,21.84,21.92,21.27,21.37,6583000,21.37
2012-11-30,21.79,22.13,21.40,21.56,5761700,21.56
2012-11-29,21.94,22.23,21.64,21.78,7302800,21.78
2012-11-28,21.14,21.75,20.92,21.74,6962000,21.74
2012-11-27,21.49,21.89,21.21,21.26,5133300,21.26
2012-11-26,21.47,21.91,21.36,21.61,4300200,21.61
2012-11-23,21.96,22.00,21.42,21.64,3305800,21.64
2012-11-21,21.18,21.70,20.88,21.70,6673800,21.70
2012-11-20,21.11,21.41,20.92,21.08,5346200,21.08
2012-11-19,20.69,21.19,20.69,21.15,8530600,21.15
2012-11-16,20.07,20.33,19.56,20.06,9859900,20.06
2012-11-15,20.33,20.76,19.88,20.14,7782500,20.14
2012-11-14,21.51,21.57,20.25,20.37,10274900,20.37
2012-11-13,21.09,21.45,21.00,21.31,8301400,21.31
2012-11-12,21.42,21.71,21.23,21.53,4436400,21.53
2012-11-09,21.01,21.90,20.95,21.10,8398900,21.10
2012-11-08,21.50,21.95,21.03,21.15,6102000,21.10
2012-11-07,21.69,21.96,21.29,21.56,9089300,21.51
2012-11-06,21.66,22.47,21.66,22.26,10591300,22.21
2012-11-05,20.74,21.46,20.69,21.13,8167500,21.08
2012-11-02,21.89,22.01,20.65,20.84,10452200,20.79
2012-11-01,20.63,21.69,20.51,21.55,12617800,21.50
2012-10-31,21.35,21.48,20.05,20.39,13725000,20.34
2012-10-26,21.51,21.76,21.05,21.15,5938100,21.10
2012-10-25,22.02,22.07,21.35,21.41,5875200,21.36
