Date,Open,High,Low,Close,Volume,Adj Close
2009-12-24,21.50,21.67,21.43,21.60,662400,19.06
2009-12-23,21.38,21.46,21.31,21.40,1503300,18.88
2009-12-22,21.48,21.66,21.30,21.32,2341000,18.81
2009-12-21,21.76,21.94,21.50,21.77,3402800,18.99
2009-12-18,21.44,21.59,21.25,21.59,3635400,18.83
2009-12-17,21.35,21.52,21.26,21.30,3269200,18.58
2009-12-16,21.54,21.59,21.42,21.48,2526000,18.74
2009-12-15,21.45,21.55,21.35,21.48,3560500,18.74
2009-12-14,21.49,21.61,21.39,21.52,2362000,18.77
2009-12-11,21.01,21.41,21.01,21.41,2300500,18.68
2009-12-10,20.90,21.16,20.90,21.02,2111300,18.34
2009-12-09,20.75,20.94,20.64,20.94,2247400,18.27
2009-12-08,20.85,20.93,20.63,20.80,1890600,18.14
2009-12-07,20.66,20.89,20.55,20.81,2240200,18.15
2009-12-04,20.91,21.00,20.40,20.63,4421000,18.00
2009-12-03,20.51,20.91,20.51,20.76,2134700,18.11
2009-12-02,20.60,20.63,20.30,20.58,5135400,17.95
2009-12-01,20.33,20.64,20.33,20.55,3377000,17.93
2009-11-30,20.14,20.41,20.14,20.32,2264200,17.73
2009-11-27,20.13,20.38,19.93,20.19,1346000,17.61
2009-11-25,20.44,20.61,20.31,20.50,2048900,17.88
2009-11-24,20.34,20.45,20.20,20.42,2358400,17.81
2009-11-23,20.12,20.40,20.11,20.33,2709600,17.73
2009-11-20,19.96,20.09,19.89,20.02,2578400,17.46
2009-11-19,19.98,20.12,19.88,20.03,3591700,17.47
2009-11-18,19.85,19.99,19.65,19.98,4503400,17.43
2009-11-17,20.00,20.07,19.83,19.87,2953400,17.33
2009-11-16,19.94,20.10,19.87,20.03,5404000,17.47
2009-11-13,19.48,19.92,19.43,19.91,7492000,17.37
2009-11-12,19.49,19.60,19.39,19.43,4035700,16.95
2009-11-11,19.64,19.75,19.50,19.56,5183300,17.06
2009-11-10,19.23,19.61,19.22,19.61,3373300,17.11
2009-11-09,19.12,19.32,19.02,19.31,3240100,16.84
2009-11-06,19.03,19.16,18.96,19.01,2885400,16.58
2009-11-05,18.87,19.12,18.83,19.08,2181400,16.64
2009-11-04,18.77,19.03,18.70,18.76,3526200,16.36
2009-11-03,18.72,18.82,18.65,18.69,3038700,16.30
2009-11-02,18.92,18.98,18.53,18.72,3738900,16.33
2009-10-30,19.03,19.24,18.79,18.86,5044400,16.45
2009-10-29,19.32,19.37,18.93,19.05,4482800,16.62
2009-10-28,19.27,19.59,19.17,19.23,4544100,16.77
2009-10-27,19.24,19.54,19.19,19.25,3604300,16.79
2009-10-26,19.49,19.77,19.21,19.26,3463600,16.80
2009-10-23,19.68,19.73,19.35,19.45,3279300,16.97
2009-10-22,19.64,19.77,19.45,19.71,3312700,17.19
2009-10-21,19.63,20.03,19.51,19.63,4159300,17.12
2009-10-20,19.89,19.89,19.50,19.60,3014800,17.10
2009-10-19,19.65,19.89,19.52,19.84,2668800,17.31
2009-10-16,19.50,19.73,19.42,19.65,2847600,17.14
2009-10-15,19.58,19.77,19.52,19.63,2925800,17.12
2009-10-14,19.53,19.75,19.31,19.65,3868900,17.14
2009-10-13,19.27,19.48,19.26,19.44,4832500,16.96
2009-10-12,19.43,19.44,19.27,19.29,3154500,16.83
2009-10-09,19.35,19.43,19.29,19.32,2467200,16.85
2009-10-08,19.47,19.53,19.29,19.33,2406400,16.86
2009-10-07,19.22,19.44,19.14,19.40,2689300,16.92
2009-10-06,19.31,19.40,19.21,19.27,3313900,16.81
2009-10-05,19.23,19.36,19.02,19.34,2103800,16.87
2009-10-02,19.27,19.28,19.05,19.20,3069200,16.75
2009-10-01,19.21,19.43,19.07,19.30,3690500,16.84
2009-09-30,19.55,19.58,19.12,19.24,4339500,16.78
2009-09-29,19.67,19.68,19.42,19.56,2477000,17.06
2009-09-28,19.54,19.73,19.51,19.66,1462700,17.15
2009-09-25,19.56,19.72,19.51,19.51,2311800,17.02
2009-09-24,19.60,19.64,19.45,19.59,3702200,17.09
2009-09-23,19.58,19.80,19.47,19.50,2984700,17.01
2009-09-22,19.82,19.98,19.48,19.57,3218700,17.07
2009-09-21,20.00,20.17,19.81,20.04,2291700,17.27
2009-09-18,20.17,20.25,20.02,20.02,4104500,17.25
2009-09-17,20.21,20.29,20.05,20.15,3294600,17.36
2009-09-16,20.06,20.29,19.80,20.21,2628000,17.41
2009-09-15,19.72,19.96,19.60,19.95,2659100,17.19
2009-09-14,19.45,19.67,19.43,19.64,1880400,16.92
2009-09-11,19.52,19.58,19.38,19.47,1635400,16.78
2009-09-10,19.50,19.50,19.31,19.46,1700800,16.77
2009-09-09,19.40,19.61,19.36,19.42,2666100,16.73
2009-09-08,19.73,19.75,19.42,19.54,2417900,16.84
2009-09-04,19.59,19.66,19.49,19.61,1336700,16.90
2009-09-03,19.55,19.63,19.40,19.61,2234400,16.90
2009-09-02,19.65,19.65,19.40,19.51,2862500,16.81
2009-09-01,19.72,19.93,19.58,19.68,2259600,16.96
2009-08-31,19.80,19.91,19.72,19.75,2129700,17.02
2009-08-28,20.00,20.01,19.77,19.89,1460200,17.14
2009-08-27,19.82,20.02,19.81,19.92,1787600,17.16
2009-08-26,19.78,20.00,19.70,19.95,2545500,17.19
2009-08-25,19.95,20.00,19.79,19.84,2208400,17.10
2009-08-24,19.88,19.95,19.77,19.91,1780300,17.16
2009-08-21,19.61,19.91,19.58,19.87,3408600,17.12
2009-08-20,19.35,19.53,19.26,19.52,2613600,16.82
2009-08-19,19.20,19.49,19.16,19.39,3133300,16.71
2009-08-18,19.42,19.45,19.21,19.30,3465400,16.63
2009-08-17,19.47,19.62,19.34,19.41,2965400,16.72
2009-08-14,19.73,19.84,19.52,19.66,3491500,16.94
2009-08-13,19.92,19.92,19.54,19.83,3032900,17.09
2009-08-12,19.83,20.04,19.73,19.89,3425100,17.14
2009-08-11,19.72,19.94,19.67,19.84,1684000,17.10
2009-08-10,19.69,19.85,19.49,19.85,1416400,17.10
2009-08-07,19.80,19.89,19.50,19.77,1457900,17.03
2009-08-06,19.59,19.69,19.43,19.66,1485400,16.94
2009-08-05,19.76,19.81,19.42,19.54,1917500,16.84
2009-08-04,19.66,19.78,19.61,19.73,2499700,17.00
2009-08-03,20.06,20.06,19.58,19.71,4157200,16.98
2009-07-31,20.10,20.19,19.84,19.94,2752900,17.18
2009-07-30,20.00,20.15,19.82,20.10,2526100,17.32
2009-07-29,19.57,19.93,19.46,19.89,3622700,17.14
2009-07-28,19.70,19.72,19.54,19.66,3097300,16.94
2009-07-27,19.69,19.87,19.62,19.77,1860300,17.03
2009-07-24,19.47,19.84,19.39,19.75,1964700,17.02
2009-07-23,18.99,19.64,18.99,19.52,2399000,16.82
2009-07-22,18.92,19.17,18.90,19.01,1819200,16.38
2009-07-21,18.92,19.02,18.78,19.02,2808500,16.39
2009-07-20,18.91,19.00,18.67,18.86,2208200,16.25
2009-07-17,18.88,18.95,18.64,18.79,2552200,16.19
2009-07-16,18.88,19.00,18.65,18.94,1779600,16.32
2009-07-15,18.77,18.97,18.66,18.97,3755600,16.35
2009-07-14,18.44,18.66,18.33,18.66,2602400,16.08
2009-07-13,18.17,18.46,18.04,18.44,2195400,15.89
2009-07-10,18.04,18.16,17.90,18.09,2362900,15.59
2009-07-09,18.13,18.27,17.93,18.11,1960400,15.60
2009-07-08,18.26,18.41,17.96,18.10,2292600,15.60
2009-07-07,18.56,18.56,18.14,18.17,1910400,15.66
2009-07-06,18.20,18.61,18.14,18.55,2183900,15.98
2009-07-02,18.62,18.62,17.44,18.31,2480800,15.78
2009-07-01,18.47,18.80,18.44,18.78,1813600,16.18
2009-06-30,18.72,18.77,18.19,18.41,3393700,15.86
2009-06-29,18.23,18.44,18.10,18.44,1334400,15.89
2009-06-26,18.28,18.29,18.05,18.20,1817000,15.68
2009-06-25,17.84,18.35,17.71,18.21,2673800,15.69
2009-06-24,17.79,18.16,17.70,17.87,3642700,15.40
2009-06-23,17.95,18.12,17.64,17.67,3333700,15.23
2009-06-22,18.13,18.42,17.99,18.22,2738400,15.49
2009-06-19,18.38,18.44,18.07,18.11,3275000,15.39
2009-06-18,17.94,18.34,17.93,18.32,2474300,15.57
2009-06-17,17.93,18.18,17.83,17.94,3644200,15.25
2009-06-16,17.94,18.05,17.80,17.87,2503100,15.19
2009-06-15,18.10,18.16,17.74,17.85,2573600,15.17
2009-06-12,17.96,18.34,17.79,18.24,2049200,15.51
2009-06-11,17.76,18.28,17.69,17.99,3605800,15.29
2009-06-10,17.58,17.70,17.50,17.69,3028600,15.04
2009-06-09,17.56,17.66,17.36,17.45,3255300,14.83
2009-06-08,17.48,17.68,17.35,17.54,2657100,14.91
2009-06-05,17.64,17.72,17.25,17.47,2724100,14.85
2009-06-04,17.68,17.68,17.45,17.50,3608800,14.88
2009-06-03,17.60,17.75,17.44,17.60,3066400,14.96
2009-06-02,17.77,17.95,17.66,17.67,4066900,15.02
2009-06-01,17.25,17.85,17.25,17.77,5349300,15.11
2009-05-29,17.49,17.49,17.04,17.15,11295400,14.58
2009-05-28,17.25,17.48,17.15,17.39,3105300,14.78
2009-05-27,17.54,17.60,17.11,17.14,2863600,14.57
2009-05-26,17.00,17.56,16.84,17.51,3645300,14.88
2009-05-22,16.93,17.16,16.88,16.94,2073800,14.40
2009-05-21,16.99,17.09,16.83,16.91,2616500,14.37
2009-05-20,17.44,17.50,17.02,17.05,3320000,14.49
2009-05-19,17.21,17.57,17.17,17.35,2653600,14.75
2009-05-18,17.35,17.37,17.10,17.23,2578100,14.65
2009-05-15,17.62,17.69,17.16,17.20,3275900,14.62
2009-05-14,17.95,18.07,17.60,17.73,2777600,15.07
2009-05-13,18.16,18.29,17.86,17.91,2974900,15.22
2009-05-12,18.06,18.34,18.06,18.28,2064900,15.54
