Date,Open,High,Low,Close,Volume,Adj Close
2013-01-07,36.25,36.57,36.20,36.35,1938400,36.35
2013-01-04,36.95,37.08,36.45,36.50,2502300,36.50
2013-01-03,37.13,37.39,36.89,37.02,2560000,37.02
2013-01-02,36.40,37.09,36.40,37.09,3440800,37.09
2012-12-31,35.29,35.97,35.27,35.86,2227500,35.86
2012-12-28,35.53,35.82,35.29,35.31,1683700,35.31
2012-12-27,35.85,35.92,35.33,35.78,1832300,35.78
2012-12-26,36.03,36.33,35.75,35.83,1105300,35.83
2012-12-24,36.00,36.08,35.80,35.96,611100,35.96
2012-12-21,35.94,36.24,35.55,36.10,3961000,36.10
2012-12-20,36.07,36.44,35.79,36.30,2046200,36.30
2012-12-19,36.01,36.41,36.01,36.05,2745300,36.05
2012-12-18,35.65,36.29,35.58,35.97,2840400,35.97
2012-12-17,35.43,35.60,35.17,35.48,2738100,35.48
2012-12-14,35.27,35.69,35.09,35.37,2012600,35.37
2012-12-13,35.60,36.06,35.27,35.32,2391600,35.32
2012-12-12,35.78,35.97,35.59,35.69,1808800,35.69
2012-12-11,35.22,35.71,35.09,35.67,2520700,35.67
2012-12-10,34.89,35.36,34.82,35.08,2105100,35.08
2012-12-07,34.55,34.88,34.37,34.86,1746200,34.86
2012-12-06,34.34,34.73,34.30,34.47,1471700,34.47
2012-12-05,34.23,34.48,34.01,34.40,2276800,34.40
2012-12-04,34.39,34.55,34.12,34.34,1706600,34.34
2012-12-03,34.83,34.89,34.27,34.36,1416100,34.36
2012-11-30,34.32,34.75,34.19,34.65,2700200,34.65
2012-11-29,34.59,34.78,34.20,34.26,3562400,34.26
2012-11-28,33.95,34.55,33.40,34.53,1851800,34.53
2012-11-27,34.14,34.45,33.97,34.09,1670100,34.09
2012-11-26,34.14,34.46,34.05,34.28,1765800,34.28
2012-11-23,33.93,34.30,33.82,34.19,726700,34.19
2012-11-21,33.52,33.81,33.50,33.70,1780100,33.70
2012-11-20,33.42,33.70,33.21,33.63,2070700,33.63
2012-11-19,32.86,33.50,32.82,33.50,2289100,33.50
