Date,Open,High,Low,Close,Volume,Adj Close
2012-12-26,6.97,7.12,6.88,6.90,7082100,6.90
2012-12-24,7.01,7.05,6.95,6.98,3145700,6.98
2012-12-21,7.01,7.05,6.90,7.05,20255800,7.05
2012-12-20,7.05,7.16,6.98,7.13,5772100,7.13
2012-12-19,7.15,7.19,7.03,7.06,8424300,7.06
2012-12-18,6.95,7.14,6.95,7.12,15070100,7.12
2012-12-17,6.99,7.03,6.89,6.94,11726600,6.94
2012-12-14,7.02,7.04,6.94,6.97,10065100,6.97
2012-12-13,7.08,7.17,7.00,7.04,8595100,7.04
2012-12-12,7.16,7.21,7.05,7.08,11208300,7.08
2012-12-11,7.08,7.14,7.07,7.12,8648600,7.12
2012-12-10,7.05,7.11,7.02,7.03,9481500,7.03
2012-12-07,7.04,7.10,7.01,7.09,7854400,7.09
2012-12-06,6.97,7.04,6.91,7.02,10190000,7.02
2012-12-05,6.96,7.08,6.95,6.97,12919100,6.97
2012-12-04,6.80,6.99,6.80,6.98,9637600,6.98
2012-12-03,6.86,6.92,6.78,6.79,12030800,6.79
2012-11-30,6.81,6.85,6.71,6.81,11451100,6.81
2012-11-29,6.69,6.81,6.68,6.79,9166400,6.79
2012-11-28,6.48,6.68,6.48,6.67,10379100,6.67
2012-11-27,6.58,6.65,6.51,6.53,11360000,6.53
2012-11-26,6.63,6.63,6.53,6.58,8935400,6.58
2012-11-23,6.50,6.66,6.47,6.66,3672300,6.66
2012-11-21,6.45,6.48,6.40,6.46,5810900,6.46
2012-11-20,6.40,6.47,6.25,6.42,8054800,6.42
2012-11-19,6.33,6.43,6.32,6.42,8398800,6.42
2012-11-16,6.25,6.27,6.10,6.23,12599700,6.23
2012-11-15,6.31,6.37,6.21,6.28,9981900,6.28
2012-11-14,6.43,6.51,6.26,6.29,11942500,6.29
2012-11-13,6.35,6.52,6.33,6.42,11966100,6.42
2012-11-12,6.37,6.41,6.30,6.33,6116300,6.33
2012-11-09,6.38,6.42,6.29,6.34,10030900,6.34
2012-11-08,6.37,6.44,6.32,6.34,9876700,6.34
2012-11-07,6.58,6.62,6.34,6.36,16167100,6.36
2012-11-06,6.59,6.74,6.55,6.67,7837100,6.67
2012-11-05,6.44,6.61,6.38,6.59,7695200,6.59
2012-11-02,6.71,6.71,6.46,6.47,10406400,6.47
2012-11-01,6.47,6.69,6.44,6.65,11471500,6.65
2012-10-31,6.51,6.51,6.29,6.44,12382000,6.44
2012-10-26,6.41,6.57,6.41,6.49,10309600,6.49
2012-10-25,6.51,6.57,6.46,6.50,9882700,6.50
2012-10-24,6.63,6.65,6.41,6.48,21349800,6.48
2012-10-23,6.73,6.77,6.36,6.67,43243500,6.67
2012-10-22,7.03,7.05,6.89,7.03,16959200,7.03
2012-10-19,7.35,7.36,6.90,6.98,18708500,6.98
2012-10-18,7.32,7.41,7.30,7.36,7255700,7.36
2012-10-17,7.40,7.50,7.26,7.32,12748100,7.32
2012-10-16,7.19,7.39,7.12,7.39,8291900,7.39
2012-10-15,7.12,7.18,7.04,7.16,7246800,7.16
2012-10-12,7.22,7.26,7.04,7.08,9341400,7.08
2012-10-11,7.14,7.26,7.08,7.22,9205700,7.22
2012-10-10,7.14,7.18,6.99,7.07,7727000,7.07
2012-10-09,7.17,7.25,7.12,7.16,6363100,7.16
2012-10-08,7.24,7.27,7.17,7.25,6262400,7.25
2012-10-05,7.33,7.34,7.22,7.27,8042900,7.27
2012-10-04,7.21,7.36,7.10,7.28,9937800,7.28
2012-10-03,7.36,7.41,7.13,7.17,12571100,7.17
2012-10-02,7.39,7.39,7.26,7.35,10841100,7.35
2012-10-01,7.36,7.54,7.30,7.35,14701000,7.35
2012-09-28,7.33,7.39,7.24,7.34,14376400,7.34
2012-09-27,7.28,7.44,7.26,7.38,11525300,7.38
2012-09-26,7.29,7.30,7.03,7.25,12368500,7.25
2012-09-25,7.75,7.76,7.32,7.32,13466400,7.28
2012-09-24,7.76,7.79,7.69,7.72,6399000,7.67
2012-09-21,7.86,7.89,7.72,7.80,12759100,7.75
2012-09-20,7.75,7.81,7.61,7.80,8603000,7.75
2012-09-19,7.62,7.81,7.58,7.79,8745600,7.74
2012-09-18,7.67,7.70,7.55,7.60,7583100,7.56
2012-09-17,7.82,7.86,7.64,7.70,7376100,7.65
2012-09-14,7.76,7.86,7.73,7.86,7419000,7.81
2012-09-13,7.63,7.75,7.60,7.74,10071000,7.69
2012-09-12,7.53,7.70,7.53,7.66,8253700,7.62
2012-09-11,7.48,7.53,7.41,7.49,12397900,7.45
2012-09-10,7.70,7.70,7.46,7.46,15091900,7.42
2012-09-07,7.66,7.69,7.52,7.68,8518000,7.63
2012-09-06,7.46,7.68,7.41,7.68,10694300,7.63
2012-09-05,7.27,7.42,7.24,7.42,7726300,7.38
2012-09-04,7.38,7.38,7.21,7.26,9861600,7.22
2012-08-31,7.40,7.45,7.33,7.37,9696200,7.33
2012-08-30,7.33,7.40,7.30,7.33,6163600,7.29
2012-08-29,7.40,7.43,7.32,7.39,6076400,7.35
2012-08-28,7.26,7.42,7.25,7.38,7120300,7.34
